RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 93254 436243
block_tx 93255 436244
block_tx 93256 436245
block_tx 93257 436246
block_tx 93258 436247
block_tx 93259 436248
block_tx 93260 436249
block_tx 93261 436250
block_tx 93261 436251
block_tx 93261 436252
block_tx 93261 436253
block_tx 93261 436254
block_tx 93261 436255
block_tx 93262 436256
block_tx 93263 436257
block_tx 93264 436258
block_tx 93265 436259
block_tx 93266 436260
block_tx 93267 436261
block_tx 93268 436262
block_tx 93269 436263
block_tx 93269 436264
block_tx 93269 436265
block_tx 93270 436266
block_tx 93271 436267
block_tx 93272 436268
block_tx 93273 436269
block_tx 93274 436270
block_tx 93274 436271
block_tx 93274 436272
block_tx 93275 436273
block_tx 93276 436274
block_tx 93277 436275
block_tx 93278 436276
block_tx 93279 436277
block_tx 93280 436278
block_tx 93281 436279
block_tx 93282 436280
block_tx 93283 436281
block_tx 93283 436282
block_tx 93284 436283
block_tx 93285 436284
block_tx 93286 436285
block_tx 93286 436286
block_tx 93287 436287
block_tx 93288 436288
block_tx 93289 436289
block_tx 93290 436290
block_tx 93291 436291
block_tx 93291 436292
block_tx 93292 436293
block_tx 93292 436294
block_tx 93293 436295
block_tx 93294 436296
block_tx 93294 436297
block_tx 93295 436298
block_tx 93296 436299
block_tx 93297 436300
block_tx 93298 436301
block_tx 93298 436302
block_tx 93299 436303
block_tx 93299 436304
block_tx 93300 436305
block_tx 93301 436306
block_tx 93302 436307
block_tx 93302 436308
block_tx 93303 436309
block_tx 93304 436310
block_tx 93305 436311
block_tx 93306 436312
block_tx 93307 436313
block_tx 93308 436314
block_tx 93308 436315
block_tx 93309 436316
block_tx 93310 436317
block_tx 93311 436318
block_tx 93312 436319
block_tx 93312 436320
block_tx 93313 436321
block_tx 93314 436322
block_tx 93314 436323
block_tx 93314 436324
block_tx 93315 436325
block_tx 93316 436326
block_tx 93316 436327
block_tx 93316 436328
block_tx 93316 436329
block_tx 93316 436330
block_tx 93316 436331
block_tx 93316 436332
block_tx 93316 436333
block_tx 93316 436334
block_tx 93317 436335
block_tx 93317 436336
block_tx 93318 436337
block_tx 93318 436338
block_tx 93319 436339
block_tx 93320 436340
block_tx 93321 436341
block_tx 93322 436342
block_tx 93323 436343
block_tx 93324 436344
block_tx 93325 436345
block_tx 93326 436346
block_tx 93327 436347
block_tx 93328 436348
block_tx 93329 436349
block_tx 93330 436350
block_tx 93331 436351
block_tx 93332 436352
block_tx 93333 436353
block_tx 93334 436354
block_tx 93334 436355
block_tx 93335 436356
block_tx 93336 436357
block_tx 93337 436358
block_tx 93338 436359
block_tx 93339 436360
block_tx 93339 436361
block_tx 93340 436362
block_tx 93341 436363
block_tx 93342 436364
block_tx 93343 436365
block_tx 93344 436366
block_tx 93345 436367
block_tx 93346 436368
block_tx 93346 436369
block_tx 93347 436370
block_tx 93348 436371
commit
block_tx 93349 436372
block_tx 93350 436373
block_tx 93351 436374
